paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
454,0.9938551842011826,0.006870539080370199,1.0,0.0
455,0.995128079306464,0.006334965477637089,1.0,0.0
456,0.993810124795572,0.008364537403818723,1.0,0.0
457,0.9937517688250986,0.008592463289331435,1.0,0.0
458,0.9905508672934604,0.011509189703137435,1.0,0.0
459,0.9890609601372583,0.010486448318583303,1.0,0.0
460,0.9963003525329618,0.0062612325123019815,1.0,0.0
461,0.9935403132405748,0.007997498633353323,1.0,0.0
462,0.9942926532261692,0.008672215926007313,1.0,0.0
463,0.9929127956060063,0.010126017795134,1.0,0.0
464,0.9959143926845027,0.006196655338926117,1.0,0.0
465,0.9907094151069346,0.008263017825872306,1.0,0.0
466,0.994238397455128,0.006383898516340577,1.0,0.0
467,0.9942759421188193,0.006305974802338072,1.0,0.0
468,0.9945373362276771,0.007059154103690775,1.0,0.0
469,0.9916015414065943,0.009108323352803321,1.0,0.0
470,0.9945697039502935,0.007618487932349657,1.0,0.0
471,0.9933804149510225,0.007464841123048715,1.0,0.0
472,0.9946354753374038,0.0070926149022650245,1.0,0.0
473,0.9934957758221876,0.007130893354180705,1.0,0.0
474,0.9926776265485415,0.010200760889122782,1.0,0.0
475,0.9945075077481311,0.007169205717879396,1.0,0.0
476,0.9945938275326714,0.005695693749349378,1.0,0.0
477,0.9914190857804116,0.007488589366195608,1.0,0.0
478,0.9933473007978636,0.007466883313954983,1.0,0.0
479,0.9892889000480162,0.009693037579794037,1.0,0.0
480,0.9943109525350584,0.007096031506591946,1.0,0.0
481,0.9960137058595372,0.005446938105348641,1.0,0.0
482,0.9947285932357927,0.005517293219277794,1.0,0.0
483,0.9910010720100639,0.009578766037805119,1.0,0.0
484,0.9931669590334762,0.00716279863597487,1.0,0.0
485,0.9897600252339903,0.009992702064954694,1.0,0.0
486,0.9937948718659574,0.006177743786926068,1.0,0.0
487,0.992699183182888,0.007018869967214418,1.0,0.0
488,0.9908512497436867,0.009483822725661839,1.0,0.0
489,0.9921162737730561,0.009406458772210458,1.0,0.0
490,0.9938027328721817,0.0069274024053196034,1.0,0.0
491,0.9941071846919459,0.0077163068738028235,1.0,0.0
492,0.9922270777119144,0.007075526459787549,1.0,0.0
493,0.9934568865372851,0.006805678867806575,1.0,0.0
494,0.9908032641564622,0.007741186791156563,1.0,0.0
495,0.9923989730622359,0.008519258914249947,1.0,0.0
496,0.9932013914894924,0.00824297307850416,1.0,0.0
497,0.9911294341461548,0.011829036889456896,1.0,0.0
498,0.9910162117424318,0.010616996786425094,1.0,0.0
